id,name,age,score
57284,Frank Smith,59,66.94
57285,Heidi Miller,48,25.58
57286,Heidi Brown,73,21.82
57287,Heidi Miller,37,5.61
57288,Ivan Johnson,32,60.07
57289,Judy Johnson,50,67.6
57290,Grace Johnson,39,91.36
57291,Charlie Johnson,39,65.61
57292,Heidi Miller,70,54.26
57293,Heidi Smith,45,99.64
57294,Frank Johnson,55,69.42
57295,  Eve Garcia  ,70,48.11
57296,Heidi Jones,41,98.88
57297,Charlie Rodriguez,62,28.89
57298,Eve Brown,55,8.02
57299,Eve Garcia,61,32.63
57300,Eve Johnson,62,51.27
57301,Heidi Garcia,32,20.35
57302,Alice Smith,58,66.37
57303,Frank Davis,75,16.87
57304,Grace Jones,44,21.87
57305,Charlie Miller,63,78.27
57306,Judy Johnson,57,62.93
57307,Judy Williams,64,34.41
57308,  Frank Garcia  ,62,3.91
57309,Bob Davis,64,30.17
57310,Grace Brown,57,78.74
57311,  Grace Miller  ,73,50.2
57312,Alice Jones,35,11.57
57313,Charlie Miller,28,56.34
57314,  Heidi Miller  ,63,22.59
57315,Grace Garcia,59,1.75
57316,Grace Johnson,52,
57317,Judy Williams,67,65.18
57318,Charlie Johnson,69,75.51
57319,Alice Wilson,58,62.77
57320,Grace Davis,35,43.95
57321,Judy Williams,51,21.86
57322,Heidi Williams,38,94.39
57323,  Ivan Garcia  ,80,65.01
57324,Bob Rodriguez,65,41.52
57325,Alice Jones,41,23.61
57326,Frank Miller,62,67.81
57327,  Charlie Miller  ,31,13.98
57328,Ivan Garcia,70,20.24
57329,Frank Garcia,63,70.41
57330,Grace Brown,64,32.36
57331,Judy Davis,20,7.02
57332,Charlie Wilson,63,67.71
57333,Frank Rodriguez,35,24.49
57334,Alice Williams,36,23.41
57335,Alice Rodriguez,43,74.35
57336,Heidi Rodriguez,55,74.56
57337,Alice Jones,24,6.79
57338,Bob Jones,76,22.19
57339,Heidi Davis,26,20.66
57340,Eve Johnson,20,7.91
57341,Judy Williams,38,81.58
57342,Eve Jones,28,58.03
57343,Bob Williams,48,97.01
57344,Diana Brown,80,9.16
57345,Heidi Miller,75,50.18
57346,  Frank Johnson  ,63,15.1
57347,Charlie Miller,,28.63
57348,Diana Smith,31,14.38
57349,Alice Jones,76,61.2
57350,Bob Rodriguez,72,71.44
57351,Eve Jones,52,40.86
57352,  Heidi Smith  ,35,36.46
57353,Eve Davis,37,88.2
57354,Eve Davis,45,47.72
57355,Eve Smith,56,62.51
57356,Charlie Davis,74,45.71
57357,Ivan Brown,44,80.48
57358,  Charlie Wilson  ,33,78.0
57359,Eve Garcia,53,94.07
57360,Heidi Wilson,45,68.93
57361,Eve Miller,28,47.41
57362,Eve Brown,55,19.24
57363,Eve Wilson,27,22.04
57364,Frank Garcia,34,19.26
57365,Judy Williams,19,69.4
57366,Heidi Smith,21,55.4
57367,Diana Williams,51,46.57
57368,  Alice Brown  ,32,19.02
57369,Ivan Brown,59,70.41
57370,Alice Wilson,41,
57371,Grace Brown,65,23.26
57372,  Heidi Smith  ,25,0.34
57373,  Ivan Williams  ,72,56.32
57374,  Ivan Wilson  ,46,4.8
57375,Heidi Smith,65,40.85
57376,Grace Brown,61,94.31
57377,Bob Brown,71,28.17
57378,Charlie Garcia,47,36.34
57379,Ivan Jones,38,14.74
57380,Ivan Miller,34,7.64
57381,Judy Jones,29,31.3
57382,Grace Davis,28,79.36
57383,Bob Johnson,73,24.32
57384,Frank Williams,21,98.49
57385,Charlie Miller,64,86.77
57386,Charlie Miller,27,3.97
57387,  Charlie Miller  ,72,41.88
57388,Frank Miller,44,11.96
57389,  Judy Jones  ,58,31.23
57390,Bob Miller,75,13.05
57391,Eve Garcia,42,
57392,Heidi Miller,50,67.76
57393,Charlie Williams,20,37.56
57394,Charlie Davis,22,25.43
57395,Bob Wilson,60,57.31
57396,Frank Rodriguez,38,88.54
57397,Charlie Wilson,48,10.59
57398,Bob Miller,54,27.68
57399,Ivan Davis,26,57.87
57400,Bob Davis,76,
57401,Judy Williams,79,76.47
57402,Eve Williams,64,54.78
57403,Bob Miller,31,57.14
57404,  Alice Smith  ,65,21.34
57405,Grace Smith,44,18.97
57406,Charlie Williams,52,67.95
57407,Judy Smith,53,41.19
57408,Alice Williams,22,70.95
57409,Diana Wilson,75,55.05
57410,Judy Miller,51,66.25
57411,Ivan Johnson,53,97.14
57412,Frank Jones,61,75.17
57413,Diana Jones,54,23.17
57414,Grace Smith,47,7.38
57415,  Frank Garcia  ,52,8.01
57416,Grace Miller,19,21.43
57417,Diana Miller,50,43.44
57418,Grace Miller,53,9.38
57419,Charlie Davis,41,
57420,Judy Williams,41,6.16
57421,  Eve Williams  ,80,9.02
57422,Heidi Johnson,47,
57423,Diana Jones,60,35.78
57424,Diana Brown,78,54.87
57425,Frank Wilson,52,84.89
57426,Frank Miller,62,77.81
57427,Eve Williams,37,19.39
57428,Frank Jones,78,66.29
57429,Frank Williams,19,73.17
57430,Bob Johnson,38,61.11
57431,Ivan Smith,43,41.46
57432,Diana Jones,20,94.61
57433,Charlie Rodriguez,72,70.56
57434,Bob Rodriguez,51,67.4
57435,Grace Miller,66,10.72
57436,Judy Johnson,57,13.07
57437,Grace Brown,29,96.31
57438,Diana Williams,72,7.4
57439,Diana Johnson,44,61.85
57440,  Alice Davis  ,46,43.67
57441,Diana Miller,21,39.75
57442,Charlie Jones,56,70.88
57443,Diana Johnson,68,87.84
57444,Frank Rodriguez,62,15.55
57445,Heidi Davis,20,79.85
57446,Judy Rodriguez,63,50.28
57447,  Eve Garcia  ,39,97.48
57448,  Ivan Williams  ,53,96.24
57449,  Heidi Smith  ,67,10.66
57450,Eve Jones,56,94.15
57451,Judy Williams,25,47.68
57452,Bob Jones,56,61.15
57453,  Grace Johnson  ,73,59.28
57454,Ivan Miller,26,5.07
57455,Charlie Jones,18,26.78
57456,Charlie Brown,,28.27
57457,Eve Johnson,43,
57458,Charlie Jones,29,95.29
57459,  Eve Garcia  ,38,61.49
57460,Diana Davis,44,60.35
57461,Bob Brown,69,90.51
57462,Grace Johnson,55,39.37
57463,Frank Smith,51,45.03
57464,Diana Wilson,69,1.56
57465,Judy Wilson,,89.76
57466,Heidi Garcia,32,25.18
57467,Eve Miller,24,17.03
57468,Heidi Wilson,65,69.01
57469,Bob Brown,25,66.3
57470,Alice Miller,27,16.96
57471,Ivan Williams,72,45.23
57472,Charlie Davis,66,77.03
57473,Heidi Garcia,59,80.16
57474,Charlie Brown,66,88.93
57475,Alice Miller,77,64.31
57476,Frank Johnson,24,64.81
57477,Eve Wilson,75,12.73
57478,Heidi Davis,43,67.78
57479,Ivan Jones,73,36.75
57480,Grace Johnson,74,94.52
57481,Judy Jones,39,81.08
57482,Eve Brown,41,10.01
57483,Charlie Wilson,30,36.84
57484,Alice Jones,62,9.16
57485,Grace Miller,30,40.5
57486,Judy Brown,38,8.73
57487,Alice Rodriguez,70,99.5
57488,  Diana Williams  ,76,77.49
57489,Bob Jones,80,97.45
57490,Alice Williams,47,27.72
57491,Heidi Brown,74,55.64
57492,Diana Wilson,34,
57493,Judy Smith,77,30.46
57494,Frank Wilson,27,59.86
57495,Alice Brown,28,13.19
57496,Alice Miller,45,85.0
57497,Ivan Miller,31,66.8
57498,Bob Brown,36,30.93
57499,Heidi Wilson,53,10.26
57500,Heidi Smith,43,92.18
57501,Charlie Garcia,41,65.77
57502,Alice Miller,64,74.02
57503,Heidi Miller,39,81.26
57504,Eve Davis,46,45.86
57505,Frank Rodriguez,32,41.52
57506,Charlie Wilson,59,8.67
57507,Ivan Rodriguez,22,88.83
57508,Frank Johnson,27,44.25
57509,Alice Garcia,75,
57510,Heidi Williams,79,0.82
57511,Ivan Johnson,38,1.9
57512,Grace Williams,65,17.91
57513,Charlie Garcia,32,79.2
57514,Alice Smith,44,51.76
57515,Frank Miller,43,25.48
57516,Grace Davis,67,82.13
57517,Heidi Williams,21,6.0
57518,Alice Jones,52,40.33
57519,Bob Williams,41,25.45
57520,Charlie Smith,71,94.23
57521,  Frank Miller  ,51,72.33
57522,Diana Smith,56,56.97
57523,Frank Brown,36,52.51
57524,Eve Davis,79,72.93
57525,Frank Brown,45,40.48
57526,Charlie Johnson,67,97.05
57527,Diana Rodriguez,,30.48
57528,Frank Brown,70,53.21
57529,Judy Johnson,51,66.98
57530,Grace Garcia,68,16.51
57531,Bob Smith,80,46.37
57532,Diana Smith,47,90.59
57533,Eve Miller,57,13.84
57534,Bob Garcia,49,2.75
57535,Heidi Williams,34,10.35
57536,Diana Miller,68,78.91
57537,Alice Brown,38,15.24
57538,Ivan Johnson,48,26.32
57539,Eve Brown,58,85.39
57540,Grace Davis,32,
57541,Alice Jones,44,40.22
57542,Grace Smith,,18.7
57543,  Eve Smith  ,52,5.95
57544,Ivan Miller,21,12.81
57545,Eve Rodriguez,69,92.79
57546,Eve Garcia,20,
57547,Eve Garcia,19,18.08
57548,Alice Wilson,19,38.09
57549,Charlie Brown,71,54.07
57550,Alice Miller,20,92.42
57551,Eve Miller,21,48.82
57552,Charlie Rodriguez,20,0.29
57553,Charlie Davis,54,23.95
57554,Grace Wilson,21,95.95
57555,Charlie Rodriguez,34,82.2
57556,Eve Miller,52,17.05
57557,Alice Smith,77,23.07
57558,Ivan Miller,31,76.59
57559,  Judy Wilson  ,62,92.69
57560,Diana Jones,60,3.45
57561,Frank Johnson,43,89.84
57562,Judy Johnson,61,32.17
57563,Judy Garcia,49,36.18
57564,Bob Johnson,80,21.03
57565,Charlie Williams,48,26.9
57566,Bob Williams,67,94.07
57567,Grace Miller,66,90.54
57568,Judy Brown,65,4.4
57569,Eve Williams,53,48.76
57570,Heidi Smith,75,76.47
57571,Alice Williams,38,93.98
57572,Frank Miller,45,84.42
57573,Charlie Smith,57,
57574,Eve Smith,34,82.08
57575,  Grace Davis  ,26,83.12
57576,Judy Johnson,75,91.78
57577,  Alice Smith  ,40,37.65
57578,Charlie Garcia,68,74.28
57579,Eve Johnson,65,64.74
57580,Frank Brown,34,93.57
57581,Alice Williams,33,86.12
57582,Ivan Jones,21,89.85
57583,Charlie Williams,23,
57584,Bob Wilson,30,59.87
57585,Grace Garcia,79,48.09
57586,Heidi Rodriguez,76,91.07
57587,  Bob Garcia  ,28,
57588,  Grace Johnson  ,58,80.27
57589,Charlie Brown,56,90.31
57590,Eve Garcia,52,10.1
57591,Bob Garcia,51,37.42
57592,Grace Rodriguez,24,51.5
57593,Diana Johnson,55,79.39
57594,  Charlie Smith  ,53,55.71
57595,Charlie Williams,36,71.93
57596,Ivan Garcia,72,58.12
57597,Judy Johnson,48,41.51
57598,Bob Jones,37,27.57
57599,Heidi Smith,58,43.37
57600,Bob Davis,72,85.84
57601,Grace Rodriguez,52,58.43
57602,Heidi Garcia,39,25.8
57603,Frank Wilson,71,78.11
57604,Heidi Johnson,76,62.59
57605,Judy Smith,76,99.47
57606,Diana Wilson,73,59.25
57607,Eve Smith,23,83.75
57608,Eve Wilson,71,71.72
57609,Charlie Wilson,38,96.38
57610,Frank Rodriguez,28,36.92
57611,Frank Smith,79,81.44
57612,Judy Garcia,58,86.81
57613,Grace Davis,78,54.25
57614,  Alice Johnson  ,34,77.89
57615,Judy Johnson,72,5.6
57616,Alice Wilson,30,55.73
57617,Frank Jones,71,76.45
57618,Heidi Davis,54,51.65
57619,Heidi Johnson,36,16.92
57620,Alice Garcia,48,40.71
57621,Eve Brown,53,26.59
57622,Charlie Rodriguez,39,20.71
57623,Diana Williams,51,60.93
57624,Diana Brown,58,15.28
57625,Bob Wilson,49,45.06
57626,Eve Wilson,37,38.58
57627,  Judy Davis  ,19,18.63
57628,Bob Williams,72,54.09
57629,  Judy Wilson  ,22,38.16
57630,Ivan Rodriguez,71,59.2
57631,Grace Davis,31,19.15
57632,Charlie Rodriguez,44,0.06
57633,Alice Wilson,53,93.97
57634,Ivan Davis,22,92.33
57635,Diana Jones,50,19.12
57636,Bob Wilson,,4.08
57637,  Charlie Smith  ,59,40.19
57638,Grace Miller,52,64.63
57639,  Diana Johnson  ,36,48.37
57640,Eve Rodriguez,24,28.48
57641,Ivan Wilson,55,48.85
57642,Judy Jones,48,47.04
57643,Judy Garcia,65,21.32
57644,Grace Jones,22,34.82
57645,Grace Wilson,67,62.75
57646,  Charlie Garcia  ,26,
57647,Eve Rodriguez,51,63.52
57648,Alice Smith,80,90.23
57649,Charlie Jones,65,80.03
57650,  Eve Johnson  ,52,35.23
57651,Judy Smith,26,62.23
57652,Diana Smith,19,11.47
57653,Grace Jones,39,28.17
57654,Judy Wilson,61,10.4
57655,Ivan Brown,72,
57656,Charlie Brown,28,54.83
57657,Frank Miller,61,34.71
57658,  Grace Garcia  ,60,61.78
57659,Ivan Johnson,76,21.96
57660,Charlie Smith,64,13.44
57661,Alice Garcia,48,76.38
57662,Alice Garcia,63,76.16
57663,Bob Rodriguez,69,29.9
57664,Alice Smith,76,90.06
57665,  Frank Jones  ,66,55.08
57666,Grace Smith,41,21.66
57667,Alice Wilson,63,39.6
57668,Frank Davis,38,97.78
57669,Frank Jones,38,33.21
57670,Diana Williams,80,83.68
57671,Ivan Johnson,21,49.63
57672,Bob Garcia,36,11.48
57673,Bob Smith,78,12.92
57674,Ivan Johnson,46,23.25
57675,Bob Johnson,77,34.89
57676,Eve Garcia,70,
57677,Ivan Smith,65,4.71
57678,Heidi Johnson,30,47.92
57679,Judy Brown,62,57.63
57680,Charlie Miller,31,59.77
57681,Alice Rodriguez,38,64.44
57682,Diana Johnson,42,86.72
57683,Judy Davis,62,94.78
57684,Heidi Smith,21,98.7
57685,Grace Garcia,52,34.92
57686,Bob Johnson,68,44.43
57687,Judy Williams,44,49.13
57688,Judy Miller,22,47.02
57689,Frank Brown,68,30.41
57690,Charlie Johnson,55,44.59
57691,  Eve Jones  ,24,23.48
57692,Judy Brown,20,0.99
57693,Charlie Smith,29,9.92
57694,Alice Jones,35,13.73
57695,  Eve Smith  ,62,20.81
57696,Charlie Smith,48,62.25
57697,Diana Jones,24,49.49
57698,Eve Garcia,51,21.69
57699,Eve Rodriguez,60,57.78
57700,Bob Miller,21,5.49
57701,Heidi Brown,29,54.53
57702,Charlie Smith,40,65.66
57703,Eve Johnson,77,52.05
57704,Judy Jones,44,92.32
57705,Heidi Jones,60,29.15
57706,Eve Wilson,35,71.55
57707,Ivan Smith,41,19.44
57708,Alice Brown,47,95.39
57709,Grace Davis,24,73.41
57710,Eve Johnson,30,86.5
57711,Bob Davis,73,41.03
57712,Bob Johnson,59,78.75
57713,Alice Smith,24,52.91
57714,Bob Smith,23,73.55
57715,Diana Garcia,35,82.33
57716,Bob Smith,42,
57717,Charlie Davis,41,34.38
57718,Frank Williams,23,11.51
57719,Eve Brown,58,96.36
57720,Charlie Davis,79,21.19
57721,  Heidi Wilson  ,46,21.71
57722,Bob Johnson,56,34.9
57723,Frank Davis,58,95.72
57724,Frank Rodriguez,60,53.38
57725,Eve Wilson,63,53.8
57726,Frank Williams,70,
57727,Diana Smith,52,89.72
57728,Charlie Johnson,61,42.09
57729,Diana Johnson,80,37.21
57730,Frank Rodriguez,42,77.37
57731,Frank Jones,58,7.89
57732,  Diana Davis  ,47,47.18
57733,Diana Miller,68,16.71
57734,Heidi Brown,71,64.22
57735,Grace Smith,59,41.56
57736,Grace Garcia,48,43.16
57737,Heidi Johnson,25,68.99
57738,Eve Williams,45,87.75
57739,Eve Davis,44,92.18
57740,Bob Garcia,73,73.13
57741,Frank Rodriguez,24,29.42
57742,Grace Wilson,30,37.66
57743,Diana Williams,28,10.54
57744,Charlie Garcia,57,25.51
57745,Grace Williams,27,81.92
57746,Grace Miller,46,31.51
57747,Frank Wilson,68,89.39
57748,Charlie Brown,37,76.5
57749,Alice Smith,67,58.07
57750,Bob Smith,60,53.66
57751,  Ivan Rodriguez  ,50,50.66
57752,Heidi Jones,48,47.33
57753,Grace Garcia,66,89.03
57754,Charlie Jones,74,73.25
57755,Judy Davis,25,
57756,Heidi Rodriguez,48,43.69
57757,Ivan Wilson,65,
57758,Frank Johnson,24,84.79
57759,Ivan Miller,,81.24
57760,Grace Rodriguez,58,97.48
57761,Eve Brown,27,26.08
57762,Grace Garcia,25,
57763,Ivan Davis,67,96.42
57764,Frank Smith,76,82.83
57765,  Diana Garcia  ,76,15.41
57766,Judy Johnson,49,47.19
57767,Diana Rodriguez,20,65.62
57768,Ivan Brown,52,47.49
57769,  Ivan Smith  ,27,82.29
57770,Charlie Brown,56,21.35
57771,  Frank Rodriguez  ,61,90.65
57772,Diana Davis,72,
57773,Grace Rodriguez,25,67.6
57774,Frank Johnson,72,58.29
57775,Heidi Johnson,64,46.19
57776,Ivan Garcia,55,7.7
57777,  Diana Davis  ,70,36.43
57778,Grace Brown,31,31.01
57779,Heidi Rodriguez,71,
57780,Grace Johnson,19,33.76
57781,Alice Wilson,65,40.14
57782,Diana Davis,80,11.49
57783,Frank Rodriguez,25,19.25
57784,Heidi Miller,26,91.97
57785,Diana Williams,41,8.73
57786,Bob Smith,58,86.76
57787,Eve Brown,67,47.18
57788,Heidi Jones,77,85.65
57789,Bob Williams,22,94.08
57790,Grace Garcia,33,1.09
57791,Heidi Jones,22,73.12
57792,  Ivan Garcia  ,70,64.98
57793,Heidi Davis,30,61.54
57794,Charlie Smith,29,6.93
57795,Alice Jones,61,63.24
57796,Judy Jones,23,69.72
57797,Eve Williams,77,45.77
57798,Diana Wilson,74,26.63
57799,Diana Jones,47,39.67
57800,Heidi Johnson,29,50.7
57801,Charlie Johnson,35,83.97
57802,Diana Jones,40,14.1
57803,Diana Johnson,31,58.26
57804,Heidi Miller,42,17.75
57805,Bob Jones,30,62.44
57806,Heidi Wilson,36,30.52
57807,  Ivan Davis  ,19,25.83
57808,Charlie Johnson,49,69.38
57809,Charlie Jones,63,81.7
57810,Frank Williams,49,
57811,Frank Wilson,66,42.91
57812,Heidi Davis,52,53.39
57813,Grace Davis,55,3.69
57814,Heidi Johnson,48,2.16
57815,Judy Wilson,32,80.19
57816,Ivan Jones,56,0.16
57817,Heidi Davis,34,33.45
57818,Heidi Miller,40,68.13
57819,Bob Brown,58,77.16
57820,Bob Smith,70,97.87
57821,Charlie Smith,54,15.64
57822,Diana Brown,33,61.82
57823,Grace Rodriguez,22,21.47
57824,Grace Davis,69,94.41
57825,Ivan Garcia,28,7.09
57826,Charlie Williams,48,30.15
57827,Diana Williams,68,7.68
57828,Frank Garcia,74,8.91
57829,Frank Rodriguez,68,4.95
57830,Eve Wilson,74,78.55
57831,Judy Brown,49,15.9
57832,Ivan Johnson,61,90.73
57833,Diana Miller,62,1.21
57834,  Bob Miller  ,29,45.36
57835,Judy Johnson,20,49.67
57836,Bob Wilson,57,50.32
57837,Alice Davis,76,63.64
57838,Heidi Jones,63,22.06
57839,Eve Smith,32,90.07
57840,Diana Davis,45,22.13
57841,  Diana Rodriguez  ,19,46.48
57842,Eve Garcia,40,14.4
57843,Charlie Jones,42,67.38
57844,  Bob Williams  ,62,66.28
57845,Diana Williams,37,81.02
57846,Charlie Davis,31,7.57
57847,Diana Jones,57,78.5
57848,Frank Johnson,41,79.78
57849,Alice Davis,77,94.62
57850,Bob Johnson,57,80.08
57851,Alice Williams,22,23.88
57852,  Eve Rodriguez  ,34,19.0
57853,Judy Johnson,80,
57854,Grace Davis,26,68.16
57855,Heidi Rodriguez,45,97.43
57856,  Ivan Rodriguez  ,57,67.97
57857,Ivan Brown,18,33.24
57858,Judy Davis,22,2.11
57859,Diana Smith,34,48.93
57860,Heidi Smith,26,73.37
57861,Grace Brown,23,54.13
57862,Alice Brown,80,17.88
57863,Charlie Rodriguez,32,
57864,Alice Jones,37,60.95
57865,Ivan Miller,31,89.82
57866,Bob Smith,68,39.51
57867,Judy Williams,50,79.36
57868,Alice Jones,26,66.01
57869,Judy Miller,41,87.37
57870,Charlie Williams,47,38.61
57871,Judy Smith,28,84.0
57872,  Alice Miller  ,70,39.7
57873,Charlie Wilson,76,3.59
57874,  Frank Davis  ,39,32.38
57875,Frank Wilson,29,26.04
57876,Frank Garcia,37,85.29
57877,Heidi Smith,24,65.34
57878,Frank Jones,58,32.56
57879,Eve Johnson,75,40.12
57880,Bob Jones,,59.21
57881,Frank Jones,40,2.02
57882,Judy Miller,25,
57883,  Bob Smith  ,19,21.25
57884,Grace Williams,43,41.1
57885,Grace Miller,52,76.39
57886,Heidi Brown,22,76.61
57887,Eve Brown,65,36.23
57888,Charlie Miller,43,62.29
57889,Diana Smith,80,16.74
57890,Diana Miller,54,22.16
57891,Charlie Brown,74,54.69
57892,Ivan Smith,21,66.06
57893,Judy Wilson,66,94.8
57894,Frank Jones,55,45.56
57895,Charlie Rodriguez,29,
57896,Bob Smith,,81.06
57897,Bob Jones,48,20.04
57898,Alice Williams,51,85.76
57899,Diana Johnson,46,70.93
57900,Charlie Smith,18,0.05
57901,Bob Wilson,55,57.13
57902,Eve Williams,64,37.04
57903,Ivan Smith,75,64.96
57904,Diana Rodriguez,55,27.26
57905,Judy Williams,46,8.35
57906,Eve Rodriguez,51,23.76
57907,  Alice Brown  ,45,70.44
57908,  Alice Wilson  ,36,40.92
57909,Heidi Williams,66,30.43
57910,  Diana Garcia  ,50,46.31
57911,Frank Smith,47,60.39
57912,Diana Smith,68,24.37
57913,Frank Williams,64,33.92
57914,Eve Davis,65,29.15
57915,  Heidi Brown  ,68,44.43
57916,Ivan Davis,65,85.2
57917,  Eve Wilson  ,63,43.59
57918,Judy Smith,59,9.31
57919,Ivan Brown,66,73.09
57920,Charlie Wilson,32,96.52
57921,  Charlie Jones  ,77,99.15
57922,Grace Brown,75,32.87
57923,Bob Jones,53,28.76
57924,Judy Davis,,20.45
57925,Eve Garcia,37,5.47
57926,Frank Wilson,26,91.14
57927,Eve Rodriguez,57,65.04
57928,Heidi Brown,62,
57929,Diana Wilson,62,52.18
57930,Ivan Williams,26,13.31
57931,Eve Miller,41,31.42
57932,Charlie Rodriguez,27,69.76
57933,Alice Wilson,23,98.79
57934,Frank Williams,79,98.77
57935,Eve Rodriguez,34,47.28
57936,Eve Garcia,30,14.78
57937,  Diana Brown  ,28,29.21
57938,Alice Miller,43,45.48
57939,Diana Williams,41,72.21
57940,Heidi Garcia,75,
57941,Judy Miller,45,66.04
57942,Frank Davis,72,47.27
57943,Charlie Brown,55,62.07
57944,  Grace Rodriguez  ,34,43.65
57945,Eve Brown,21,52.88
57946,Frank Jones,24,40.59
57947,Alice Garcia,74,1.51
57948,Eve Rodriguez,25,40.07
57949,Diana Smith,75,47.01
57950,Diana Brown,23,63.74
57951,Bob Garcia,68,46.77
57952,Eve Garcia,26,57.02
57953,Bob Johnson,22,31.27
57954,Eve Johnson,55,63.36
57955,  Eve Smith  ,66,49.42
57956,Ivan Smith,58,25.5
57957,Judy Wilson,70,70.36
57958,Diana Jones,47,79.51
57959,Grace Rodriguez,39,97.7
57960,Judy Brown,50,63.54
57961,Eve Brown,69,97.7
57962,Judy Smith,78,26.88
57963,Judy Davis,69,1.37
57964,Grace Garcia,60,48.14
57965,Judy Jones,57,23.93
57966,Eve Brown,26,85.04
57967,Bob Jones,45,
57968,Diana Smith,77,
57969,Frank Jones,38,42.29
57970,Charlie Garcia,56,17.24
57971,Judy Johnson,24,99.01
57972,Alice Garcia,50,94.53
57973,Frank Jones,36,91.72
57974,Ivan Williams,75,97.62
57975,Charlie Miller,55,49.93
57976,Diana Garcia,25,53.21
57977,Heidi Jones,,71.77
57978,  Alice Brown  ,32,57.62
57979,Charlie Rodriguez,27,95.71
57980,Bob Williams,27,72.67
57981,Heidi Johnson,66,27.01
57982,  Diana Jones  ,,84.48
57983,Diana Wilson,52,72.9
57984,Grace Wilson,76,96.58
57985,Diana Brown,42,9.05
57986,Diana Jones,47,1.53
57987,  Heidi Smith  ,57,41.88
57988,Charlie Brown,23,68.15
57989,Eve Johnson,76,96.14
57990,Charlie Wilson,64,71.68
57991,Eve Davis,64,70.24
57992,Heidi Garcia,46,2.81
57993,Diana Davis,78,93.23
57994,Charlie Davis,33,
57995,Alice Davis,80,99.78
57996,Charlie Williams,27,48.98
57997,Charlie Wilson,69,33.18
57998,Diana Garcia,68,81.3
57999,Bob Smith,65,57.04
58000,Ivan Brown,79,76.51
58001,Alice Rodriguez,43,72.94
58002,Diana Smith,78,
58003,Eve Johnson,64,0.43
58004,Eve Wilson,79,4.83
58005,Bob Johnson,39,89.2
58006,Ivan Brown,74,90.04
58007,  Judy Brown  ,24,92.29
58008,Judy Rodriguez,64,
58009,Bob Smith,62,36.03
58010,Bob Smith,50,55.43
58011,Alice Garcia,62,5.6
58012,Alice Miller,24,79.88
58013,Bob Johnson,36,15.97
58014,Alice Johnson,24,9.05
58015,Eve Jones,60,44.54
58016,Diana Williams,26,26.22
58017,Frank Jones,21,89.73
58018,Charlie Rodriguez,77,
58019,  Grace Rodriguez  ,69,86.79
58020,Judy Rodriguez,56,26.93
58021,  Ivan Johnson  ,54,40.59
58022,Alice Brown,19,19.26
58023,Alice Davis,38,57.83
58024,Diana Davis,50,36.39
58025,Bob Smith,72,45.78
58026,  Charlie Rodriguez  ,67,30.57
58027,Heidi Miller,26,74.81
58028,Judy Williams,66,21.59
58029,Bob Johnson,35,97.79
58030,  Charlie Davis  ,21,32.14
58031,Judy Miller,47,53.12
58032,Heidi Davis,36,69.15
58033,Ivan Garcia,34,22.37
58034,Judy Wilson,60,49.72
58035,Judy Smith,52,49.32
58036,Bob Wilson,23,66.4
58037,Bob Jones,75,
58038,Eve Brown,39,63.38
58039,  Charlie Smith  ,42,55.34
58040,Heidi Williams,60,60.67
58041,Ivan Johnson,28,89.51
58042,  Charlie Rodriguez  ,71,
58043,Charlie Garcia,24,20.08
58044,Judy Smith,26,72.75
58045,Frank Smith,71,54.22
58046,Judy Williams,35,
58047,Alice Johnson,75,76.08
58048,  Judy Rodriguez  ,37,63.16
58049,Eve Davis,36,
58050,Bob Johnson,35,
58051,Ivan Brown,60,65.57
58052,Heidi Smith,35,46.28
58053,Diana Miller,25,16.31
58054,Heidi Wilson,24,56.15
58055,Heidi Davis,72,81.76
58056,Eve Rodriguez,41,92.03
58057,Eve Rodriguez,52,4.28
58058,Eve Williams,50,66.02
58059,Eve Rodriguez,68,46.19
58060,Charlie Rodriguez,59,15.53
58061,Charlie Williams,47,17.9
58062,Eve Brown,47,84.96
58063,Charlie Garcia,75,1.99
58064,  Alice Rodriguez  ,74,88.78
58065,Bob Davis,20,81.85
58066,Grace Smith,37,97.37
58067,Frank Miller,67,78.97
58068,Alice Wilson,43,32.05
58069,Diana Johnson,21,
58070,Eve Wilson,30,8.92
58071,Diana Johnson,27,69.1
58072,Grace Johnson,46,28.0
58073,Bob Rodriguez,67,18.64
58074,Judy Brown,52,6.91
58075,Frank Rodriguez,24,34.1
58076,  Judy Williams  ,69,3.82
58077,Bob Wilson,78,68.8
58078,Alice Johnson,48,92.26
58079,Charlie Rodriguez,73,24.09
58080,  Judy Garcia  ,67,73.51
58081,Charlie Jones,51,14.61
58082,Grace Miller,60,29.51
58083,Diana Brown,39,12.39
58084,Bob Davis,60,4.16
58085,  Heidi Smith  ,70,55.94
58086,Judy Miller,28,19.83
58087,Bob Miller,65,54.2
58088,Judy Jones,77,74.44
58089,Frank Brown,76,73.03
58090,Diana Jones,69,56.14
58091,Frank Garcia,41,28.23
58092,Frank Rodriguez,60,72.29
58093,Heidi Wilson,54,33.4
58094,Charlie Wilson,52,81.76
58095,Charlie Brown,28,53.3
58096,  Alice Rodriguez  ,54,89.13
58097,Judy Wilson,53,70.66
58098,Grace Miller,39,74.62
58099,Frank Miller,26,97.98
58100,Alice Garcia,50,74.36
58101,Heidi Smith,58,37.84
58102,Grace Jones,50,49.06
58103,Frank Wilson,21,51.19
58104,Frank Smith,58,11.01
58105,Grace Brown,76,54.66
